iter	Passed	Remaining
0	153	15215
1	161	7922
2	168	5455
3	173	4154
4	179	3401
5	183	2869
6	188	2497
7	192	2210
8	197	1995
9	201	1815
10	205	1664
11	210	1540
12	214	1438
13	218	1342
14	222	1261
15	226	1191
16	231	1130
17	237	1080
18	241	1029
19	247	991
20	251	947
21	256	907
22	260	872
23	264	837
24	269	807
25	273	778
26	281	760
27	287	739
28	293	719
29	298	695
30	302	673
31	306	651
32	311	631
33	314	611
34	318	592
35	323	574
36	327	557
37	331	540
38	336	525
39	340	510
40	344	496
41	349	481
42	353	468
43	358	456
44	363	443
45	367	431
46	371	419
47	376	407
48	380	396
49	384	384
50	389	374
51	394	364
52	399	354
53	410	349
54	414	339
55	419	329
56	424	320
57	429	310
58	433	301
59	438	292
60	442	283
61	447	274
62	451	265
63	456	257
64	461	248
65	465	240
66	470	231
67	475	223
68	479	215
69	484	207
70	488	199
71	494	192
72	499	184
73	504	177
74	509	169
75	513	162
76	517	154
77	521	147
78	526	139
79	530	132
80	536	125
81	541	118
82	546	112
83	554	105
84	559	98
85	564	91
86	570	85
87	575	78
88	580	71
89	586	65
90	590	58
91	594	51
92	599	45
93	603	38
94	608	32
95	612	25
96	617	19
97	621	12
98	625	6
99	631	0
